time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
10.356153,-0.0171,0.0019,0.0210,0.027
10.376294,-0.0027,-0.0124,0.0497,0.051
10.395816,-0.0074,0.0021,0.0545,0.055
10.417269,-0.0026,-0.0026,0.0210,0.021
10.435818,-0.0216,0.0069,0.0449,0.050
10.456473,-0.0074,0.0023,0.0401,0.041
10.476002,-0.0172,-0.0072,0.0354,0.040
10.494686,-0.0174,-0.0026,0.0497,0.053
10.515603,-0.0137,0.0018,0.0545,0.056
10.535883,-0.0186,-0.0029,0.0258,0.032
10.554270,-0.0234,0.0019,0.0258,0.035
10.576618,-0.0139,0.0113,0.0353,0.040
10.593511,-0.0233,0.0112,0.0258,0.036
10.617001,-0.0137,-0.0033,0.0449,0.047
